vehicle_id,vehicle_type,component,component_age_days,operating_hours,failures_last_90d,fleet_same_component_failures_90d,system_failures_last_30d,maintenance_actions_last_90d,failure_next_30_days,true_risk,readiness_score,unit,last_service_days_ago
V-1000,HMMWV,cooling,1068.0,2458.0,2,0,1,1,0,0.5237,0.4605,Unit-1,25
V-1001,FMTV,cooling,830.0,2089.0,3,6,1,2,1,0.7848,0.2336,Unit-2,181
V-1001,FMTV,engine,1427.0,425.0,2,2,1,0,0,0.6779,0.3143,Unit-2,167
V-1002,MRAP,transmission,826.0,317.0,0,5,1,4,0,0.0267,0.9326,Unit-3,165
V-1002,MRAP,electrical,177.0,2624.0,0,3,0,3,0,0.0124,0.98,Unit-3,107
V-1002,MRAP,suspension,307.0,4593.0,1,0,0,3,0,0.0638,0.9471,Unit-3,183
V-1003,JLTV,suspension,1040.0,837.0,0,6,0,3,0,0.0448,0.9392,Unit-4,174
V-1004,LMTV,brakes,117.0,837.0,0,3,1,3,0,0.0109,0.98,Unit-5,106
V-1004,LMTV,electrical,930.0,3080.0,1,6,0,3,0,0.1686,0.8218,Unit-5,11
V-1005,HMMWV,engine,1377.0,1605.0,0,3,1,0,0,0.3916,0.593,Unit-6,124
V-1005,HMMWV,suspension,703.0,4491.0,0,2,0,0,0,0.1725,0.8041,Unit-6,24
V-1005,HMMWV,transmission,1446.0,2795.0,0,3,1,2,0,0.2864,0.7096,Unit-6,100
V-1006,FMTV,hydraulics,587.0,719.0,3,2,2,2,0,0.6136,0.3686,Unit-7,155
V-1006,FMTV,brakes,462.0,3965.0,0,5,0,0,0,0.1796,0.734,Unit-7,25
V-1007,MRAP,hydraulics,773.0,4722.0,2,3,1,3,0,0.5677,0.4203,Unit-8,97
V-1007,MRAP,transmission,1028.0,537.0,0,6,0,0,1,0.1603,0.9129,Unit-8,111
V-1007,MRAP,suspension,329.0,3265.0,0,2,2,4,0,0.0495,0.9394,Unit-8,129
V-1008,JLTV,hydraulics,703.0,2694.0,2,0,0,1,0,0.4097,0.5408,Unit-1,109
V-1009,LMTV,cooling,1528.0,1877.0,1,6,0,1,0,0.5315,0.4606,Unit-2,9
V-1009,LMTV,brakes,525.0,3082.0,0,5,1,0,0,0.3093,0.6972,Unit-2,65
V-1010,HMMWV,engine,1006.0,5044.0,0,1,0,0,0,0.4067,0.6352,Unit-3,124
V-1011,FMTV,hydraulics,1017.0,2871.0,0,7,2,0,1,0.7012,0.2349,Unit-4,40
V-1011,FMTV,transmission,293.0,4912.0,1,6,2,1,1,0.7372,0.2738,Unit-4,197
V-1011,FMTV,cooling,576.0,3666.0,0,7,0,3,0,0.0716,0.86,Unit-4,165
V-1012,MRAP,engine,164.0,4584.0,0,5,0,1,0,0.0853,0.9468,Unit-5,133
V-1013,JLTV,hydraulics,828.0,2794.0,0,7,0,0,0,0.2588,0.6387,Unit-6,54
V-1014,LMTV,electrical,1488.0,3842.0,1,3,0,4,0,0.2445,0.757,Unit-7,177
V-1015,HMMWV,engine,184.0,2234.0,0,1,0,2,0,0.02,0.9452,Unit-8,147
V-1015,HMMWV,electrical,828.0,214.0,1,1,1,4,0,0.0398,0.98,Unit-8,27
V-1016,FMTV,suspension,339.0,5136.0,2,3,0,3,1,0.2682,0.6954,Unit-1,173
