vehicle_id,component,event_type,days_ago,notes,severity_hours
V-1000,cooling,preventive_service,9,Deferred cooling work pending parts (9d ago),2422
V-1000,cooling,fault_code,65,Deferred cooling work pending parts (65d ago),2198
V-1001,cooling,preventive_service,3,Elevated cooling temperature recorded (3d ago),2077
V-1001,engine,preventive_service,4,engine inspection — wear within limits (4d ago),409
V-1001,engine,preventive_service,7,Elevated engine temperature recorded (7d ago),397
V-1001,cooling,fault_code,46,cooling inspection — wear within limits (46d ago),1905
V-1001,engine,parts_replacement,54,Scheduled engine PM completed (54d ago),209
V-1001,cooling,fault_code,55,cooling inspection — wear within limits (55d ago),1869
V-1001,cooling,inspection,92,cooling inspection — wear within limits (92d ago),1721
V-1001,engine,oil_analysis,117,Elevated engine temperature recorded (117d ago),0
V-1001,engine,corrective_repair,129,Scheduled engine PM completed (129d ago),0
V-1001,cooling,parts_replacement,162,Deferred cooling work pending parts (162d ago),1441
V-1002,electrical,preventive_service,19,Scheduled electrical PM completed (19d ago),2548
V-1002,suspension,corrective_repair,36,Scheduled suspension PM completed (36d ago),4449
V-1002,transmission,fault_code,37,Deferred transmission work pending parts (37d ago),169
V-1002,electrical,parts_replacement,67,Scheduled electrical PM completed (67d ago),2356
V-1002,transmission,corrective_repair,71,transmission inspection — wear within limits (71d ago),33
V-1002,suspension,inspection,91,suspension fault cleared after service (91d ago),4229
V-1002,suspension,preventive_service,102,suspension inspection — wear within limits (102d ago),4185
V-1002,suspension,preventive_service,152,suspension fault cleared after service (152d ago),3985
V-1002,electrical,fault_code,156,Elevated electrical temperature recorded (156d ago),2000
V-1003,suspension,parts_replacement,19,Deferred suspension work pending parts (19d ago),761
V-1003,suspension,parts_replacement,32,Deferred suspension work pending parts (32d ago),709
V-1003,suspension,preventive_service,76,Elevated suspension temperature recorded (76d ago),533
V-1003,suspension,corrective_repair,159,Deferred suspension work pending parts (159d ago),201
V-1003,suspension,corrective_repair,159,suspension inspection — wear within limits (159d ago),201
V-1004,electrical,fault_code,27,Scheduled electrical PM completed (27d ago),2972
V-1004,brakes,preventive_service,37,Deferred brakes work pending parts (37d ago),689
V-1004,electrical,preventive_service,54,electrical inspection — wear within limits (54d ago),2864
V-1004,electrical,inspection,92,Scheduled electrical PM completed (92d ago),2712
V-1004,brakes,fault_code,114,Deferred brakes work pending parts (114d ago),381
V-1004,electrical,corrective_repair,118,electrical inspection — wear within limits (118d ago),2608
V-1004,electrical,parts_replacement,128,Elevated electrical temperature recorded (128d ago),2568
V-1004,brakes,parts_replacement,135,Scheduled brakes PM completed (135d ago),297
V-1004,electrical,preventive_service,166,electrical inspection — wear within limits (166d ago),2416
V-1005,suspension,parts_replacement,16,Elevated suspension temperature recorded (16d ago),4427
V-1005,transmission,oil_analysis,24,Scheduled transmission PM completed (24d ago),2699
V-1005,suspension,inspection,31,Elevated suspension temperature recorded (31d ago),4367
V-1005,transmission,parts_replacement,31,Deferred transmission work pending parts (31d ago),2671
V-1005,suspension,fault_code,43,suspension fault cleared after service (43d ago),4319
V-1005,transmission,corrective_repair,85,Scheduled transmission PM completed (85d ago),2455
V-1005,transmission,preventive_service,115,transmission inspection — wear within limits (115d ago),2335
V-1005,engine,parts_replacement,159,Scheduled engine PM completed (159d ago),969
V-1005,suspension,preventive_service,165,Scheduled suspension PM completed (165d ago),3831
